title	repository	comment
	https://github.com/amorphobia/openfly	
	https://github.com/amorphobia/rime-jiandao	
	https://github.com/amorphobia/rime-quad	四格声笔
	https://github.com/archerindigo/rime-array	
	https://github.com/bigshans/rime-zrm	
	https://github.com/cubercsl/rime-flypy	
	https://github.com/flappybriefs/pantsu-xkjd6alter	
	https://github.com/Flauver/dovepelia	
	https://github.com/Flauver/lutai	
	https://github.com/gkovacs/rime-td-pinyin-flypy-display	
	https://github.com/gkovacs/rime-td-pinyin-flypy-extra	
	https://github.com/hertz-hwang/ll	
	https://github.com/hertz-hwang/yuhao-leopard	
	https://github.com/JeffChien/rime-flypyquick5	
	https://github.com/jqtmviyu/flypy	
	https://github.com/lyserenity/xkjd6_tc	
	https://github.com/mirtlecn/rime-radical-pinyin	
	https://github.com/mutoe/rime	
	https://github.com/OscarXWei/hesingle	
	https://github.com/penjj/xiaoheyinxing-macos	
	https://github.com/pingshunhuangalex/rime-keydo	
	https://github.com/pingshunhuangalex/rime-xkjd-docs	
	https://github.com/rimeinn/rime-c42	tansongchen/c42
	https://github.com/rimeinn/rime-JDhe	
	https://github.com/rimeinn/rime-molong	
	https://github.com/rimeinn/rime-xxm	
	https://github.com/rimeinn/rime-zrlong	
	https://github.com/s5unty/xstr	
	https://github.com/Schummacher/XHSJ	小鹤四角（小鹤音形+四角号码+星空键道）
	https://github.com/sf467/xf	西风瘦码
	https://github.com/vincentaxhe/rime-wanglinkuaima	
	https://github.com/vitszeng/rime-zrm2000	
	https://github.com/vitszeng/Rime_zrm_aux_lts	
	https://github.com/wzxmer/rime-txjx	
	https://github.com/wzxmer/xkjd6-rime	
	https://github.com/Yiklek/oh-my-rime	<https://www.mintimate.cc>
%	[ipcjs/+Rime+小鹤双拼+颜文字+笔画混合输入方案.md](https://gist.github.com/ipcjs/cb527f85e027d7927ef3e42a0602ddf5)	Rime+小鹤双拼+颜文字+笔画混合输入方案
%	[lotem/default.custom.yaml](https://gist.github.com/lotem/2309739)	在Rime輸入方案選單中添加五筆、雙拼、粵拼、注音，保留你需要的
## 更多输入方案		
### 古汉语和汉语方言		
	https://github.com/AlfredLouis00/rime-Sautungva	AlfredLouis00/rime-inputting-method-of-Sautungva
	https://github.com/arsenali/zianyinzi	
	https://github.com/ayaka14732/rime-ayaka-2021	
	https://github.com/bingzheung/emoji-cantonese	
	https://github.com/biopolyhedron/rime-middle-chinese	
	https://github.com/CanCLID/rime-cantonese-schemes	
	https://github.com/CanCLID/rime-loengfan	
	https://github.com/CinixChen/Rimin	
	https://github.com/DaengGWokFook/Asian-Languages	
	https://github.com/fuzy112/rime-yutlo	
	https://github.com/gkovacs/rime-double-jyutping	
	https://github.com/gkovacs/rime-double-jyutping-extra	
	https://github.com/hazukieq/rime-hakka	
	https://github.com/HoengSaan/rime-gukwan	
	https://github.com/hokkien-writing/rime-hokkien	
	https://github.com/hokkien-writing/rime-teochew	
	https://github.com/huangjunxin/Rime-Hakka-TaibuShang	
	https://github.com/Hulenkius/RIME_OC_collections	
	https://github.com/Hynuza/fengyo_type	
	https://github.com/ionkaon/gninpou-essay	
	https://github.com/ionkaon/rime-gninpou-variant	
	https://github.com/ionkaon/rime-old-nyingpo	
	https://github.com/ionkaon/rime-wugniu_gninpou	
	https://github.com/jyutcitzi/jyutcitzi-RIME	
	https://github.com/LaiJoengzit/hamzau_jyutping	
	https://github.com/Language-Preservation-Community/Community-Min-Language-Rime	闽南语
	https://github.com/laubonghaudoi/Chinese_Rime	
	https://github.com/leimaau/leimaau_jyutping	
	https://github.com/leimaau/naamning_jyutping	
	https://github.com/leimaau/old-Cantonese	
	https://github.com/lotem/rime-zhung	
	https://github.com/Lumen01/rime-jienggong-cantonese	
	https://github.com/MISTER-CHAN/rime-sg1pb3	
	https://github.com/mkpoli/rime-toki-pona-munjan	
	https://github.com/MrCorn0-0/jyutsp	
	https://github.com/NGLI/rime-custom	
	https://github.com/NGLI/rime-wugniu_gninpou	
	https://github.com/NGLI/rime-wugniu_kashin	
	https://github.com/NGLI/rime-wugniu_soutseu	
	https://github.com/NGLI/rime-wugniu_zaonhe	
	https://github.com/nk2028/rime-kyonh	
	https://github.com/only3km/ciklinbekin	https://only3km.github.io/ciklinbekin/
	https://github.com/pearapple123/rime-hoisanva	
	https://github.com/Pieng-Yo-Hua/rime-piengyohua	
	https://github.com/rime/rime-cantonese	
	https://github.com/rime/rime-emoji-cantonese	
	https://github.com/rime/rime-jyutping	
	https://github.com/rime/rime-middle-chinese	
	https://github.com/rimeinn/rime-sampheng-alternative	
	https://github.com/saeziae/rime-shichiuk	
	https://github.com/saeziae/rime_nguphing	
	https://github.com/sgalal/rime-symbolic-simp	
	https://github.com/shinzoqchiuq/rime-shanghainese	
	https://github.com/shinzoqchiuq/rime-trjuwngkux	
	https://github.com/tanxpyox/rime-combo-jyutping	
	https://github.com/uliloewi/guang2tong1zhong1gu3	廣通中古拼音
	https://github.com/uliloewi/lang2jin1	
	https://github.com/unsioer/rime-lomaji	
	https://github.com/whyjz/rime-moetaigi	
	https://github.com/wugniu/rime-yahwe_zaonhe	
	https://github.com/xiang9916/Rime-Changshanese	
	https://github.com/yangwenbo99/rime-hokkien-poj	
	https://github.com/yuanhao-chen-nyoeghau/rime-yahwe_zaonhe	
	https://github.com/YuRen-tw/rime-taigi-tps	
	https://github.com/yuxifongfei/hubehua	
	https://github.com/ZWolken/rime-wenzhounese	https://zwolken.github.io/rime-wenzhounese/
	https://github.com/ZySieng/Foochow-Romanization	
### 非中文汉字输入（民族语言、西文、日韩等）		
	https://github.com/a-pontifex/rime-avestan	
	https://github.com/AdelinaM17n/Sinhala-Addendum-Phonetic-Rime	
	https://github.com/arpcn/rime-tibetan	
	https://github.com/arsenali/rime-esperanto	
	https://github.com/baopaau/rime-korean	
	https://github.com/baopaau/rime-toongcuu	
	https://github.com/biopolyhedron/rime-arabic	
	https://github.com/biopolyhedron/rime-hieroglyph-mdc	
	https://github.com/biopolyhedron/rime-jap-poly	
	https://github.com/biopolyhedron/rime-kyril-international	
	https://github.com/biopolyhedron/rime-latin-international	
	https://github.com/biopolyhedron/rime-manju-alikali	
	https://github.com/biopolyhedron/rime-mongol	
	https://github.com/biopolyhedron/rime-qyeyshanglr-hanja	
	https://github.com/biopolyhedron/rime-tangut-poly4	
	https://github.com/biopolyhedron/rime-thai-stupid	
	https://github.com/biopolyhedron/rime-tibetan	
	https://github.com/BlindingDark/rime-easy-en	
